x,y,theta
0.064697,0.104350,-2.712612
0.064683,0.104332,-2.712683
0.064649,0.104330,-2.712452
0.064655,0.104358,-2.712362
0.064669,0.104363,-2.712267
0.064661,0.104381,-2.712378
0.064666,0.104344,-2.712340
0.064659,0.104341,-2.712431
0.064658,0.104359,-2.712589
0.064667,0.104357,-2.712437
0.064665,0.104351,-2.712409
0.064674,0.104374,-2.712551
0.064683,0.104366,-2.712676
0.064666,0.104347,-2.712630
0.064656,0.104364,-2.712679
0.064670,0.104348,-2.712785
0.064670,0.104336,-2.712627
0.064660,0.104342,-2.712494
0.064666,0.104341,-2.712558
0.064680,0.104347,-2.712672
0.064665,0.104353,-2.712662
0.064664,0.104361,-2.712536
0.064667,0.104364,-2.712808
0.064674,0.104350,-2.712745
0.064648,0.104363,-2.712722
0.064667,0.104369,-2.712768
0.064680,0.104361,-2.712718
0.064661,0.104363,-2.712581
0.064662,0.104367,-2.712515
0.064664,0.104351,-2.712588
0.064675,0.104355,-2.712746
0.064667,0.104375,-2.712878
0.064665,0.104366,-2.712624
0.064665,0.104340,-2.712488
0.064655,0.104343,-2.712490
0.064662,0.104363,-2.712561
0.064673,0.104365,-2.712516
0.064669,0.104352,-2.712809
0.064668,0.104360,-2.712768
0.064662,0.104352,-2.712485
0.064660,0.104347,-2.712602
0.064676,0.104346,-2.712881
0.064658,0.104366,-2.712629
0.064669,0.104369,-2.712650
0.064669,0.104361,-2.712741
0.064662,0.104370,-2.712699
0.064662,0.104354,-2.712703
0.064663,0.104361,-2.712768
0.064662,0.104356,-2.712733
0.064660,0.104354,-2.712650
0.064660,0.104356,-2.712629
0.064654,0.104357,-2.712581
0.064652,0.104347,-2.712623
0.064659,0.104352,-2.712485
0.064652,0.104360,-2.712629
0.064653,0.104364,-2.712579
0.064657,0.104367,-2.712504
0.064650,0.104354,-2.712463
0.064645,0.104369,-2.712613
0.064650,0.104360,-2.712354
0.064647,0.104352,-2.712431
0.064647,0.104349,-2.712505
0.064649,0.104359,-2.712690
0.064645,0.104364,-2.712432
0.064645,0.104363,-2.712479
0.064641,0.104365,-2.712550
0.064643,0.104351,-2.712352
0.064654,0.104352,-2.712517
0.064648,0.104362,-2.712619
0.064657,0.104356,-2.712613
0.064662,0.104360,-2.712589
